ID,Volunteer,Color,GPA
A0001,Project Officer,Blue,5
A0002,Researcher,Red,5
A0003,Internship,Yellow,4
A0004,Finance Manager,Blue,4
A0005,Translator,Black,4
A0006,Project Officer,Orange,4
A0007,Data Analyst,Red,4
A0008,Finance Manager,Yellow,4
A0009,Driver,Black,4
A0010,Project Officer,Green,4
A0011,Business Analyst,Green,4
A0012,Project Officer,Yellow,4
A0013,Data Analyst,Blue,4
A0014,Project Officer,Red,4
A0015,Project Officer,Violet,4
A0016,Business Analyst,White,4
A0017,Project Officer,White,5
A0018,Finance Manager,Black,5
A0019,Researcher,Orange,5
A0020,Driver,Yellow,3
A0021,Project Officer,Green,3
A0022,Project Associate,Black,3
A0023,Finance Officer,Blue,3
A0024,Administration Assistant,Red,3
A0025,Translator,Green,5
A0026,Finance Officer,Violet,5
A0027,Project Officer,Violet,3
A0028,Project Officer,Green,3
A0029,Sports Director,Blue,3
A0030,Researcher,Red,3
A0031,Internship,Yellow,3
A0032,Finance Officer,Yellow,3
A0033,Internship,Yellow,3
A0034,Project Officer,Blue,3
A0035,Operations Manager,Blue,3
A0036,Driver,Black,3
A0037,Finance Manager,Red,3
A0038,Project Officer,Violet,3
A0039,Project Officer,Yellow,3
A0040,Researcher,Violet,3
A0041,Project Officer,White,3
A0042,Data Analyst,Black,5
A0043,Operations Manager,Red,5
A0044,Operations Executive,White,4
A0045,Project Officer,Red,4
A0046,Project Officer,Blue,4
A0047,Translator,Blue,4
A0048,Project Officer,Green,5
A0049,Project Officer,Green,5
A0050,Internship,Yellow,4
A0051,Project Officer,Red,4
A0052,Translator,Red,4
A0053,Project Officer,Green,4
A0054,Project Officer,Blue,5
A0055,General Manager,Black,4
A0056,Project Officer,Red,4
A0057,Business Executive,Red,4
A0058,Project Officer,Yellow,4
A0059,Project Officer,Red,4
A0060,Cooperate Executive,Red,5
A0061,Cooperate Executive,Yellow,5
A0062,Cooperate Executive,Blue,4
A0063,Translator,Red,5
A0064,Project Officer,Yellow,5
A0065,Project Officer,Yellow,4
A0066,Project Officer,Red,5
A0067,Project Officer,Blue,4
A0068,Translator,Green,5
A0069,Translator,Black,5
A0070,Project Officer,Blue,3
A0071,Finance Manager,Red,5
A0072,Translator,Blue,5
A0073,Project Officer,Blue,5
A0074,Data Analyst,Blue,3
A0075,Finance Manager,Yellow,4
A0076,Driver,Blue,3
A0077,Project Officer,Blue,4
A0078,Business Analyst,Green,4
A0079,Project Officer,Blue,5
A0080,Data Analyst,Green,4
,,,
